nomorKK,kepalaKeluargaNIK,alamat,rt,rw,desa,kecamatan,kabupaten,provinsi,kodePos
3201010101011017,3201010101010033,Jl. Raya Merdeka No. 155,11,03,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat,16720
3201010101011018,3201010101010034,Jl. Raya Merdeka No. 156,12,03,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat,16720
3201010101011019,3201010101010035,Jl. Raya Merdeka No. 157,12,03,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat,16720
3201010101011020,3201010101010037,Jl. Raya Merdeka No. 159,13,03,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat,16720
3201010101011021,3201010101010041,Jl. Raya Merdeka No. 163,14,03,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat,16720
3201010101011022,3201010101010042,Jl. Raya Merdeka No. 164,14,03,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat,16720
3201010101011023,3201010101010043,Jl. Raya Merdeka No. 165,15,03,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat,16720
3201010101011024,3201010101010047,Jl. Raya Merdeka No. 169,16,03,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat,16720
3201010101011025,3201010101010049,Jl. Raya Merdeka No. 171,17,03,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat,16720
3201010101011026,3201010101010050,Jl. Raya Merdeka No. 172,17,03,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat,16720
3201010101011027,3201010101010053,Jl. Raya Merdeka No. 175,18,03,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat,16720
3201010101011028,3201010101010054,Jl. Raya Merdeka No. 176,18,03,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat,16720
3201010101011029,3201010101010055,Jl. Raya Merdeka No. 177,19,03,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat,16720
3201010101011030,3201010101010057,Jl. Raya Merdeka No. 179,19,03,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat,16720
3201010101011031,3201010101010058,Jl. Raya Merdeka No. 180,20,03,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat,16720
3201010101011032,3201010101010063,Jl. Raya Merdeka No. 185,21,03,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat,16720
3201010101011033,3201010101010064,Jl. Raya Merdeka No. 186,22,03,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat,16720
3201010101011034,3201010101010065,Jl. Raya Merdeka No. 187,22,03,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat,16720
3201010101011035,3201010101010071,Jl. Raya Merdeka No. 193,24,03,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat,16720
3201010101011036,3201010101010072,Jl. Raya Merdeka No. 194,24,03,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat,16720
3201010101011037,3201010101010073,Jl. Raya Merdeka No. 195,25,03,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat,16720
3201010101011038,3201010101010077,Jl. Raya Merdeka No. 199,26,03,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat,16720
3201010101011039,3201010101010079,Jl. Raya Merdeka No. 201,27,03,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat,16720
3201010101011040,3201010101010080,Jl. Raya Merdeka No. 202,27,03,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat,16720
3201010101011041,3201010101010083,Jl. Raya Merdeka No. 205,28,03,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat,16720
3201010101011042,3201010101010084,Jl. Raya Merdeka No. 206,28,03,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat,16720
3201010101011043,3201010101010085,Jl. Raya Merdeka No. 207,29,03,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat,16720
3201010101011044,3201010101010087,Jl. Raya Merdeka No. 209,29,03,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat,16720
3201010101011045,3201010101010088,Jl. Raya Merdeka No. 210,30,03,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat,16720
3201010101011046,3201010101010093,Jl. Raya Merdeka No. 215,01,04,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat,16720
3201010101011047,3201010101010094,Jl. Raya Merdeka No. 216,02,04,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat,16720
3201010101011048,3201010101010095,Jl. Raya Merdeka No. 217,02,04,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat,16720
3201010101011049,3201010101010101,Jl. Raya Merdeka No. 223,04,04,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat,16720
3201010101011050,3201010101010102,Jl. Raya Merdeka No. 224,04,04,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat,16720
