nik,nama,tempatLahir,tanggalLahir,jenisKelamin,agama,pendidikan,pekerjaan,statusPerkawinan,alamat,rt,rw,desa,kecamatan,kabupaten,provinsi,golonganDarah,statusKependudukan
3201010101010031,Anton Wijaya,Bogor,1993-02-14,Laki-laki,Kristen,S1,Insinyur,Belum Menikah,Jl. Raya Merdeka No. 153,11,03,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat,O,Aktif
3201010101010033,Budi Raharjo,Surabaya,1987-06-17,Laki-laki,Islam,SMK,Wiraswasta,Menikah,Jl. Raya Merdeka No. 155,11,03,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat,A,Aktif
3201010101010034,Sinta Dewi,Yogyakarta,1991-11-23,Perempuan,Islam,S1,Dokter,Menikah,Jl. Raya Merdeka No. 156,12,03,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat,B,Aktif
3201010101010035,Agung Prasetyo,Medan,1989-04-09,Laki-laki,Islam,SMA,Sopir,Menikah,Jl. Raya Merdeka No. 157,12,03,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat,O,Aktif
3201010101010037,Adi Nugroho,Makassar,1986-01-26,Laki-laki,Islam,SD,Petani,Menikah,Jl. Raya Merdeka No. 159,13,03,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat,A,Aktif
3201010101010041,Rudi Kurniawan,Solo,1990-08-07,Laki-laki,Islam,S1,Pengusaha,Menikah,Jl. Raya Merdeka No. 163,14,03,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat,A,Aktif
3201010101010042,Nina Sari,Pekanbaru,1993-05-13,Perempuan,Islam,S2,Dosen,Menikah,Jl. Raya Merdeka No. 164,14,03,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat,B,Aktif
3201010101010043,Indra Gunawan,Banjarmasin,1991-10-29,Laki-laki,Islam,SMK,Sopir,Menikah,Jl. Raya Merdeka No. 165,15,03,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat,O,Aktif
3201010101010047,Hendri Wijaya,Padang,1989-04-05,Laki-laki,Islam,SMA,Wiraswasta,Menikah,Jl. Raya Merdeka No. 169,16,03,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat,O,Aktif
3201010101010049,Irfan Setiawan,Banda Aceh,1990-01-08,Laki-laki,Islam,S1,Insinyur,Menikah,Jl. Raya Merdeka No. 171,17,03,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat,A,Aktif
3201010101010050,Nurul Aisyah,Mataram,1993-06-24,Perempuan,Islam,SMA,Guru,Menikah,Jl. Raya Merdeka No. 172,17,03,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat,B,Aktif
3201010101010053,Rizki Pratama,Depok,1985-09-14,Laki-laki,Islam,S1,Arsitek,Menikah,Jl. Raya Merdeka No. 175,18,03,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat,A,Aktif
3201010101010054,Winda Lestari,Cirebon,1991-03-30,Perempuan,Islam,SMA,Perawat,Menikah,Jl. Raya Merdeka No. 176,18,03,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat,B,Aktif
3201010101010055,Supriyanto,Karawang,1976-08-16,Laki-laki,Islam,SD,Petani,Menikah,Jl. Raya Merdeka No. 177,19,03,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat,O,Aktif
3201010101010057,Doni Kurniawan,Ciamis,1983-10-19,Laki-laki,Islam,SMK,Mekanik,Menikah,Jl. Raya Merdeka No. 179,19,03,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat,A,Aktif
3201010101010058,Ratna Sari,Purwakarta,1986-04-06,Perempuan,Islam,SMA,Karyawan,Menikah,Jl. Raya Merdeka No. 180,20,03,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat,B,Aktif
3201010101010063,Bambang Setiawan,Balikpapan,1987-07-02,Laki-laki,Islam,SD,Petani,Menikah,Jl. Raya Merdeka No. 185,21,03,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat,A,Aktif
3201010101010064,Hendri Wijaya,Padang,1989-04-05,Laki-laki,Islam,SMA,Wiraswasta,Menikah,Jl. Raya Merdeka No. 186,22,03,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat,O,Aktif
3201010101010065,Agung Prasetyo,Medan,1989-04-09,Laki-laki,Islam,SMA,Sopir,Menikah,Jl. Raya Merdeka No. 187,22,03,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat,O,Aktif
3201010101010071,Rudi Kurniawan,Solo,1990-08-07,Laki-laki,Islam,S1,Pengusaha,Menikah,Jl. Raya Merdeka No. 193,24,03,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat,A,Aktif
3201010101010072,Nina Sari,Pekanbaru,1993-05-13,Perempuan,Islam,S2,Dosen,Menikah,Jl. Raya Merdeka No. 194,24,03,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat,B,Aktif
3201010101010073,Indra Gunawan,Banjarmasin,1991-10-29,Laki-laki,Islam,SMK,Sopir,Menikah,Jl. Raya Merdeka No. 195,25,03,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat,O,Aktif
3201010101010077,Hendri Wijaya,Padang,1989-04-05,Laki-laki,Islam,SMA,Wiraswasta,Menikah,Jl. Raya Merdeka No. 199,26,03,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat,O,Aktif
3201010101010079,Irfan Setiawan,Banda Aceh,1990-01-08,Laki-laki,Islam,S1,Insinyur,Menikah,Jl. Raya Merdeka No. 201,27,03,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat,A,Aktif
3201010101010080,Nurul Aisyah,Mataram,1993-06-24,Perempuan,Islam,SMA,Guru,Menikah,Jl. Raya Merdeka No. 202,27,03,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat,B,Aktif
3201010101010083,Rizki Pratama,Depok,1985-09-14,Laki-laki,Islam,S1,Arsitek,Menikah,Jl. Raya Merdeka No. 205,28,03,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat,A,Aktif
3201010101010084,Winda Lestari,Cirebon,1991-03-30,Perempuan,Islam,SMA,Perawat,Menikah,Jl. Raya Merdeka No. 206,28,03,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat,B,Aktif
3201010101010085,Supriyanto,Karawang,1976-08-16,Laki-laki,Islam,SD,Petani,Menikah,Jl. Raya Merdeka No. 207,29,03,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat,O,Aktif
3201010101010087,Doni Kurniawan,Ciamis,1983-10-19,Laki-laki,Islam,SMK,Mekanik,Menikah,Jl. Raya Merdeka No. 209,29,03,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat,A,Aktif
3201010101010088,Ratna Sari,Purwakarta,1986-04-06,Perempuan,Islam,SMA,Karyawan,Menikah,Jl. Raya Merdeka No. 210,30,03,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat,B,Aktif
3201010101010093,Bambang Setiawan,Balikpapan,1987-07-02,Laki-laki,Islam,SD,Petani,Menikah,Jl. Raya Merdeka No. 215,01,04,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat,A,Aktif
3201010101010094,Hendri Wijaya,Padang,1989-04-05,Laki-laki,Islam,SMA,Wiraswasta,Menikah,Jl. Raya Merdeka No. 216,02,04,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat,O,Aktif
3201010101010095,Agung Prasetyo,Medan,1989-04-09,Laki-laki,Islam,SMA,Sopir,Menikah,Jl. Raya Merdeka No. 217,02,04,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat,O,Aktif
3201010101010101,Rudi Kurniawan,Solo,1990-08-07,Laki-laki,Islam,S1,Pengusaha,Menikah,Jl. Raya Merdeka No. 223,04,04,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat,A,Aktif
3201010101010102,Nina Sari,Pekanbaru,1993-05-13,Perempuan,Islam,S2,Dosen,Menikah,Jl. Raya Merdeka No. 224,04,04,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat,B,Aktif

