nik,nama,tempatLahir,tanggalLahir,jenisKelamin,agama,pendidikan,pekerjaan,statusPerkawinan,alamat,rt,rw,desa,kecamatan,kabupaten,provinsi,golonganDarah,statusKependudukan,nomorKK,hubungan
3201010101010015,Dedi Kurniawan,Balikpapan,1986-09-28,Laki-laki,Islam,SD,Petani,Menikah,Jl. Raya Merdeka No. 137,05,02,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat,O,Aktif,3201010101011008,Kepala Keluarga
3201010101010016,Ani Susanti,Manado,1994-11-11,Perempuan,Kristen,S1,Perawat,Belum Menikah,Jl. Raya Merdeka No. 137,05,02,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat,AB,Aktif,3201010101011008,Istri
3201010101010017,Hendra Gunawan,Padang,1988-03-07,Laki-laki,Islam,SMA,Wiraswasta,Menikah,Jl. Raya Merdeka No. 139,06,02,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat,A,Aktif,3201010101011009,Kepala Keluarga
3201010101010018,Sari Dewi,Jambi,1995-12-19,Perempuan,Islam,SMA,Ibu Rumah Tangga,Belum Menikah,Jl. Raya Merdeka No. 139,06,02,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat,B,Aktif,3201010101011009,Istri
3201010101010019,Irfan Maulana,Banda Aceh,1991-05-04,Laki-laki,Islam,S1,Insinyur,Menikah,Jl. Raya Merdeka No. 141,07,02,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat,O,Aktif,3201010101011010,Kepala Keluarga
3201010101010020,Nurul Hidayati,Mataram,1992-08-22,Perempuan,Islam,SMA,Guru,Menikah,Jl. Raya Merdeka No. 141,07,02,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat,AB,Aktif,3201010101011010,Istri
3201010101010021,Putra Ramadhan,Bekasi,1997-01-30,Laki-laki,Islam,SMP,Pelajar,Belum Menikah,Jl. Raya Merdeka No. 123,01,02,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat,A,Aktif,3201010101011001,Anak
3201010101010022,Melati Indah,Tangerang,1998-06-15,Perempuan,Islam,SMP,Pelajar,Belum Menikah,Jl. Raya Merdeka No. 123,01,02,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat,B,Aktif,3201010101011001,Anak
3201010101010023,Rizki Fadillah,Depok,1984-04-12,Laki-laki,Islam,S1,Arsitek,Menikah,Jl. Raya Merdeka No. 145,08,02,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat,O,Aktif,3201010101011011,Kepala Keluarga
3201010101010024,Winda Sari,Cirebon,1990-09-25,Perempuan,Islam,SMA,Perawat,Menikah,Jl. Raya Merdeka No. 145,08,02,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat,AB,Aktif,3201010101011011,Istri
3201010101010025,Supriyadi,Karawang,1975-03-18,Laki-laki,Islam,SD,Petani,Menikah,Jl. Raya Merdeka No. 147,09,02,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat,A,Aktif,3201010101011012,Kepala Keluarga
3201010101010026,Siti Aisyah,Tasikmalaya,1978-11-08,Perempuan,Islam,SD,Ibu Rumah Tangga,Menikah,Jl. Raya Merdeka No. 147,09,02,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat,B,Aktif,3201010101011012,Istri
3201010101010027,Doni Setiawan,Ciamis,1982-07-22,Laki-laki,Islam,SMK,Mekanik,Menikah,Jl. Raya Merdeka No. 149,09,02,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat,O,Aktif,3201010101011013,Kepala Keluarga
3201010101010028,Ratna Dewi,Purwakarta,1985-12-05,Perempuan,Islam,SMA,Karyawan,Menikah,Jl. Raya Merdeka No. 149,09,02,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat,AB,Aktif,3201010101011013,Istri
3201010101010029,Eko Prasetyo,Subang,1979-05-14,Laki-laki,Islam,SD,Buruh,Menikah,Jl. Raya Merdeka No. 151,10,02,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat,A,Aktif,3201010101011014,Kepala Keluarga
3201010101010030,Desi Ratnasari,Indramayu,1983-08-30,Perempuan,Islam,SMA,Ibu Rumah Tangga,Menikah,Jl. Raya Merdeka No. 151,10,02,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat,B,Aktif,3201010101011014,Istri

